PDB codes,VDWAALS 1,EEL 1,EGB 1,ESURF 1,GGAS 1,GSOLV 1,TOTAL 1,VDWAALS 2,EEL 2,EGB 2,ESURF 2,GGAS 2,GSOLV 2,TOTAL 2,Output
"1u63 , 1osb",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,1
"1u63 , 1rkj",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,1
"1u63 , 1s03",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,1
"1u63 , 1s40",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"1u63 , 1u6p",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,1
"1u63 , 1wwd",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,1
"1u63 , 1wwe",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,1
"1u63 , 1wwf",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,1
"1u63 , 1wwg",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,1
"1u63 , 1zzi",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"1u63 , 2b6g",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,1
"1u63 , 2err",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,1
"1u63 , 2gkd",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"1u63 , 2glo",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,1
"1u63 , 2kh9",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"1u63 , 2l41",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"1u63 , 2leb",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,1
"1u63 , 2lec",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,1
"1u63 , 2mki",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"1u63 , 2mkk",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,1
"1u63 , 3moj",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"1u63 , 3rn2",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,1
"1u63 , 4hid",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,1
"1u63 , 4hik",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,1
"1u63 , 4him",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,1
"1u63 , 4hio",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,1
"1u63 , 4hj7",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,1
"1u63 , 4hj8",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,1
"1u63 , 4pdb",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,1
"1u63 , 5wwe",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,1
"1u63 , 5wwg",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,1
"1u63 , 5wzg",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,1
"1u63 , 5wzj",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,1
"1u63 , 5wzk",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,1
"1u63 , 5z6z",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-209.38,-9915.61,9869.33,-27.23,-10124.99,9842.11,-282.88,1
"1u63 , 6eo6",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-65.78,-810.41,852.77,-7.36,-876.19,845.41,-30.78,1
"1u63 , 6eo7",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-58.78,-864.69,890.7,-6.55,-923.47,884.15,-39.32,0
"1u63 , 5ytx",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-62.74,-206.72,236.49,-7.07,-269.47,229.41,-40.05,1
"1u63 , 5ytv",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-45.47,-179.99,205.21,-5.59,-225.46,199.61,-25.84,1
"1u63 , 5ytt",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-75.96,-273.93,314.46,-8.79,-349.88,305.67,-44.22,1
"1u63 , 5yts",-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,-57.48,-136.57,171.71,-7.0,-194.05,164.71,-29.34,1
"1u6p , 1exd",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,0
"1u6p , 1il2",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,1
"1u6p , 1jbr",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,1
"1u6p , 1je8",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,0
"1u6p , 1omh",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,0
"1u6p , 1osb",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,0
"1u6p , 1rkj",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,1
"1u6p , 1s03",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,1
"1u6p , 1s40",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"1u6p , 1u63",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"1u6p , 1wwd",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,1
"1u6p , 1wwe",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,1
"1u6p , 1wwf",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,1
"1u6p , 1wwg",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,1
"1u6p , 1zzi",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"1u6p , 2b6g",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,0
"1u6p , 2err",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"1u6p , 2gkd",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"1u6p , 2glo",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,0
"1u6p , 2kh9",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"1u6p , 2l41",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"1u6p , 2leb",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,1
"1u6p , 2lec",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,1
"1u6p , 2mki",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"1u6p , 2mkk",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,1
"1u6p , 3moj",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"1u6p , 3rn2",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,1
"1u6p , 4hid",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,1
"1u6p , 4hik",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,0
"1u6p , 4him",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,0
"1u6p , 4hio",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,0
"1u6p , 4hj7",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,0
"1u6p , 4hj8",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,0
"1u6p , 4pdb",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,1
"1u6p , 5wwe",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,1
"1u6p , 5wwg",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,1
"1u6p , 5wzg",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,0
"1u6p , 5wzj",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,0
"1u6p , 5wzk",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,1
"1u6p , 5z6z",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-209.38,-9915.61,9869.33,-27.23,-10124.99,9842.11,-282.88,0
"1u6p , 6eo6",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-65.78,-810.41,852.77,-7.36,-876.19,845.41,-30.78,0
"1u6p , 6eo7",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-58.78,-864.69,890.7,-6.55,-923.47,884.15,-39.32,0
"1u6p , 5ytx",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-62.74,-206.72,236.49,-7.07,-269.47,229.41,-40.05,1
"1u6p , 5ytv",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-45.47,-179.99,205.21,-5.59,-225.46,199.61,-25.84,1
"1u6p , 5ytt",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-75.96,-273.93,314.46,-8.79,-349.88,305.67,-44.22,1
"1u6p , 5yts",-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,-57.48,-136.57,171.71,-7.0,-194.05,164.71,-29.34,1
"1wwd , 1exd",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,0
"1wwd , 1il2",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,1
"1wwd , 1jbr",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,1
"1wwd , 1je8",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,0
"1wwd , 1omh",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,0
"1wwd , 1osb",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,0
"1wwd , 1rkj",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,1
"1wwd , 1s03",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,0
"1wwd , 1s40",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"1wwd , 1u63",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"1wwd , 1u6p",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,0
"1wwd , 1wwe",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,0
"1wwd , 1wwf",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,0
"1wwd , 1wwg",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,0
"1wwd , 1zzi",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"1wwd , 2b6g",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,0
"1wwd , 2err",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"1wwd , 2gkd",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"1wwd , 2glo",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,0
"1wwd , 2kh9",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"1wwd , 2l41",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"1wwd , 2leb",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,1
"1wwd , 2lec",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,0
"1wwd , 2mki",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"1wwd , 2mkk",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,1
"1wwd , 3moj",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"1wwd , 3rn2",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,0
"1wwd , 4hid",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,1
"1wwd , 4hik",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,0
"1wwd , 4him",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,0
"1wwd , 4hio",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,0
"1wwd , 4hj7",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,0
"1wwd , 4hj8",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,0
"1wwd , 4pdb",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,0
"1wwd , 5wwe",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,1
"1wwd , 5wwg",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,0
"1wwd , 5wzg",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,0
"1wwd , 5wzj",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,0
"1wwd , 5wzk",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,0
"1wwd , 5z6z",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-209.38,-9915.61,9869.33,-27.23,-10124.99,9842.11,-282.88,0
"1wwd , 6eo6",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-65.78,-810.41,852.77,-7.36,-876.19,845.41,-30.78,0
"1wwd , 6eo7",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-58.78,-864.69,890.7,-6.55,-923.47,884.15,-39.32,0
"1wwd , 5ytx",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-62.74,-206.72,236.49,-7.07,-269.47,229.41,-40.05,1
"1wwd , 5ytv",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-45.47,-179.99,205.21,-5.59,-225.46,199.61,-25.84,1
"1wwd , 5ytt",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-75.96,-273.93,314.46,-8.79,-349.88,305.67,-44.22,1
"1wwd , 5yts",-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,-57.48,-136.57,171.71,-7.0,-194.05,164.71,-29.34,1
"1wwe , 1exd",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,0
"1wwe , 1il2",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,1
"1wwe , 1jbr",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,1
"1wwe , 1je8",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,0
"1wwe , 1omh",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,0
"1wwe , 1osb",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,0
"1wwe , 1rkj",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,1
"1wwe , 1s03",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,1
"1wwe , 1s40",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"1wwe , 1u63",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"1wwe , 1u6p",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,0
"1wwe , 1wwd",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,1
"1wwe , 1wwf",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,0
"1wwe , 1wwg",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,0
"1wwe , 1zzi",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"1wwe , 2b6g",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,0
"1wwe , 2err",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"1wwe , 2gkd",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"1wwe , 2glo",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,0
"1wwe , 2kh9",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"1wwe , 2l41",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"1wwe , 2leb",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,1
"1wwe , 2lec",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,1
"1wwe , 2mki",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"1wwe , 2mkk",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,1
"1wwe , 3moj",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"1wwe , 3rn2",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,0
"1wwe , 4hid",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,1
"1wwe , 4hik",-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,0
